dimension,size,epsilon,sample_size,correct_guesses
10,10000,0.01,1000,100
10,10000,0.06,167,100
10,10000,0.11,91,99
10,10000,0.16,63,100
10,10000,0.21,48,93
10,10000,0.26,39,90
10,10000,0.31,33,91
10,10000,0.36,28,81
10,10000,0.41,25,71
10,10000,0.46,22,44
10,20000,0.01,1000,100
10,20000,0.06,167,100
10,20000,0.11,91,100
10,20000,0.16,63,99
10,20000,0.21,48,99
10,20000,0.26,39,96
10,20000,0.31,33,90
10,20000,0.36,28,76
10,20000,0.41,25,67
10,20000,0.46,22,47
10,30000,0.01,1000,100
10,30000,0.06,167,100
10,30000,0.11,91,100
10,30000,0.16,63,99
10,30000,0.21,48,98
10,30000,0.26,39,93
10,30000,0.31,33,93
10,30000,0.36,28,75
10,30000,0.41,25,64
10,30000,0.46,22,44
10,40000,0.01,1000,100
10,40000,0.06,167,100
10,40000,0.11,91,100
10,40000,0.16,63,99
10,40000,0.21,48,99
10,40000,0.26,39,93
10,40000,0.31,33,93
10,40000,0.36,28,75
10,40000,0.41,25,74
10,40000,0.46,22,43
10,50000,0.01,1000,100
10,50000,0.06,167,99
10,50000,0.11,91,100
10,50000,0.16,63,96
10,50000,0.21,48,97
10,50000,0.26,39,95
10,50000,0.31,33,93
10,50000,0.36,28,84
10,50000,0.41,25,67
10,50000,0.46,22,57
20,10000,0.01,2000,100
20,10000,0.06,334,100
20,10000,0.11,182,100
20,10000,0.16,125,100
20,10000,0.21,96,100
20,10000,0.26,77,98
20,10000,0.31,65,93
20,10000,0.36,56,90
20,10000,0.41,49,81
20,10000,0.46,44,58
20,20000,0.01,2000,100
20,20000,0.06,334,100
20,20000,0.11,182,100
20,20000,0.16,125,100
20,20000,0.21,96,99
20,20000,0.26,77,100
20,20000,0.31,65,98
20,20000,0.36,56,95
20,20000,0.41,49,82
20,20000,0.46,44,56
20,30000,0.01,2000,100
20,30000,0.06,334,100
20,30000,0.11,182,100
20,30000,0.16,125,100
20,30000,0.21,96,100
20,30000,0.26,77,99
20,30000,0.31,65,97
20,30000,0.36,56,91
20,30000,0.41,49,85
20,30000,0.46,44,68
20,40000,0.01,2000,100
20,40000,0.06,334,100
20,40000,0.11,182,100
20,40000,0.16,125,100
20,40000,0.21,96,100
20,40000,0.26,77,100
20,40000,0.31,65,96
20,40000,0.36,56,94
20,40000,0.41,49,76
20,40000,0.46,44,66
20,50000,0.01,2000,100
20,50000,0.06,334,100
20,50000,0.11,182,100
20,50000,0.16,125,100
20,50000,0.21,96,99
20,50000,0.26,77,99
20,50000,0.31,65,100
20,50000,0.36,56,89
20,50000,0.41,49,82
20,50000,0.46,44,63
30,10000,0.01,3000,100
30,10000,0.06,500,100
30,10000,0.11,273,100
30,10000,0.16,188,100
30,10000,0.21,143,100
30,10000,0.26,116,100
30,10000,0.31,97,100
30,10000,0.36,84,98
30,10000,0.41,74,91
30,10000,0.46,66,68
30,20000,0.01,3000,100
30,20000,0.06,500,100
30,20000,0.11,273,100
30,20000,0.16,188,100
30,20000,0.21,143,100
30,20000,0.26,116,100
30,20000,0.31,97,99
30,20000,0.36,84,97
30,20000,0.41,74,95
30,20000,0.46,66,68
30,30000,0.01,3000,100
30,30000,0.06,500,100
30,30000,0.11,273,100
30,30000,0.16,188,100
30,30000,0.21,143,100
30,30000,0.26,116,100
30,30000,0.31,97,99
30,30000,0.36,84,98
30,30000,0.41,74,90
30,30000,0.46,66,64
30,40000,0.01,3000,100
30,40000,0.06,500,100
30,40000,0.11,273,100
30,40000,0.16,188,100
30,40000,0.21,143,100
30,40000,0.26,116,100
30,40000,0.31,97,100
30,40000,0.36,84,97
30,40000,0.41,74,88
30,40000,0.46,66,66
30,50000,0.01,3000,100
30,50000,0.06,500,100
30,50000,0.11,273,100
30,50000,0.16,188,100
30,50000,0.21,143,100
30,50000,0.26,116,100
30,50000,0.31,97,99
30,50000,0.36,84,97
30,50000,0.41,74,87
30,50000,0.46,66,67
40,10000,0.01,4000,100
40,10000,0.06,667,100
40,10000,0.11,364,100
40,10000,0.16,250,100
40,10000,0.21,191,100
40,10000,0.26,154,100
40,10000,0.31,130,100
40,10000,0.36,112,100
40,10000,0.41,98,93
40,10000,0.46,87,70
40,20000,0.01,4000,100
40,20000,0.06,667,100
40,20000,0.11,364,100
40,20000,0.16,250,100
40,20000,0.21,191,100
40,20000,0.26,154,100
40,20000,0.31,130,100
40,20000,0.36,112,99
40,20000,0.41,98,95
40,20000,0.46,87,64
40,30000,0.01,4000,100
40,30000,0.06,667,100
40,30000,0.11,364,100
40,30000,0.16,250,100
40,30000,0.21,191,100
40,30000,0.26,154,100
40,30000,0.31,130,100
40,30000,0.36,112,99
40,30000,0.41,98,90
40,30000,0.46,87,62
40,40000,0.01,4000,100
40,40000,0.06,667,100
40,40000,0.11,364,100
40,40000,0.16,250,100
40,40000,0.21,191,100
40,40000,0.26,154,100
40,40000,0.31,130,99
40,40000,0.36,112,99
40,40000,0.41,98,90
40,40000,0.46,87,63
40,50000,0.01,4000,100
40,50000,0.06,667,100
40,50000,0.11,364,100
40,50000,0.16,250,100
40,50000,0.21,191,100
40,50000,0.26,154,100
40,50000,0.31,130,100
40,50000,0.36,112,99
40,50000,0.41,98,92
40,50000,0.46,87,71
50,10000,0.01,5000,100
50,10000,0.06,834,100
50,10000,0.11,455,100
50,10000,0.16,313,100
50,10000,0.21,239,100
50,10000,0.26,193,100
50,10000,0.31,162,100
50,10000,0.36,139,100
50,10000,0.41,122,92
50,10000,0.46,109,71
50,20000,0.01,5000,100
50,20000,0.06,834,100
50,20000,0.11,455,100
50,20000,0.16,313,100
50,20000,0.21,239,100
50,20000,0.26,193,100
50,20000,0.31,162,100
50,20000,0.36,139,100
50,20000,0.41,122,94
50,20000,0.46,109,80
50,30000,0.01,5000,100
50,30000,0.06,834,100
50,30000,0.11,455,100
50,30000,0.16,313,100
50,30000,0.21,239,100
50,30000,0.26,193,100
50,30000,0.31,162,100
50,30000,0.36,139,99
50,30000,0.41,122,93
50,30000,0.46,109,70
50,40000,0.01,5000,100
50,40000,0.06,834,100
50,40000,0.11,455,100
50,40000,0.16,313,100
50,40000,0.21,239,100
50,40000,0.26,193,100
50,40000,0.31,162,100
50,40000,0.36,139,99
50,40000,0.41,122,95
50,40000,0.46,109,72
50,50000,0.01,5000,100
50,50000,0.06,834,100
50,50000,0.11,455,100
50,50000,0.16,313,100
50,50000,0.21,239,100
50,50000,0.26,193,100
50,50000,0.31,162,100
50,50000,0.36,139,99
50,50000,0.41,122,93
50,50000,0.46,109,68
