pair,class_neg,class_pos,n,p,n_neg,n_pos,separable,exitflag,full_lp_time_sec
3_vs_4,3,4,38501,54,35754,2747,0,-2,1.768862
3_vs_5,3,5,45247,54,35754,9493,0,-2,1.371084
3_vs_4,3,4,38501,54,35754,2747,0,-2,1.797364
3_vs_5,3,5,45247,54,35754,9493,0,-2,1.313608
4_vs_5,4,5,12240,54,2747,9493,1,1,0.020732
1_vs_4,1,4,214587,54,211840,2747,1,1,0.406147
3_vs_5,3,5,45247,54,35754,9493,0,-2,1.366492
4_vs_5,4,5,12240,54,2747,9493,1,1,0.019522
1_vs_2,1,2,495141,54,211840,283301,0,-2,95.152894
1_vs_3,1,3,247594,54,211840,35754,0,-2,4.609235
1_vs_4,1,4,214587,54,211840,2747,1,1,0.348826
1_vs_5,1,5,221333,54,211840,9493,0,-2,24.310819
1_vs_6,1,6,229207,54,211840,17367,0,-2,12.747031
1_vs_7,1,7,232350,54,211840,20510,0,-2,39.574788
2_vs_3,2,3,319055,54,283301,35754,0,-2,21.940929
2_vs_4,2,4,286048,54,283301,2747,0,-2,0.686576
2_vs_5,2,5,292794,54,283301,9493,0,-2,67.823369
2_vs_6,2,6,300668,54,283301,17367,0,-2,26.920009
2_vs_7,2,7,303811,54,283301,20510,0,-2,45.146058
3_vs_4,3,4,38501,54,35754,2747,0,-2,1.721796
3_vs_5,3,5,45247,54,35754,9493,0,-2,1.311154
3_vs_6,3,6,53121,54,35754,17367,0,-2,6.800407
3_vs_7,3,7,56264,54,35754,20510,1,1,0.35357
4_vs_5,4,5,12240,54,2747,9493,1,1,0.018651
4_vs_6,4,6,20114,54,2747,17367,0,-2,0.817109
4_vs_7,4,7,23257,54,2747,20510,1,1,0.0337
5_vs_6,5,6,26860,54,9493,17367,0,-2,0.635827
5_vs_7,5,7,30003,54,9493,20510,0,-2,0.926199
6_vs_7,6,7,37877,54,17367,20510,1,1,0.151084
1_vs_2,1,2,495141,54,211840,283301,0,-2,95.032691
1_vs_3,1,3,247594,54,211840,35754,0,-2,4.648122
1_vs_4,1,4,214587,54,211840,2747,1,1,0.34621
1_vs_5,1,5,221333,54,211840,9493,0,-2,24.341747
1_vs_6,1,6,229207,54,211840,17367,0,-2,12.895522
1_vs_7,1,7,232350,54,211840,20510,0,-2,39.64941
2_vs_3,2,3,319055,54,283301,35754,0,-2,21.993773
2_vs_4,2,4,286048,54,283301,2747,0,-2,0.742925
2_vs_5,2,5,292794,54,283301,9493,0,-2,67.639819
2_vs_6,2,6,300668,54,283301,17367,0,-2,26.959941
2_vs_7,2,7,303811,54,283301,20510,0,-2,45.506242
3_vs_4,3,4,38501,54,35754,2747,0,-2,1.747377
3_vs_5,3,5,45247,54,35754,9493,0,-2,1.321485
3_vs_6,3,6,53121,54,35754,17367,0,-2,6.798236
3_vs_7,3,7,56264,54,35754,20510,1,1,0.345677
4_vs_5,4,5,12240,54,2747,9493,1,1,0.018323
4_vs_6,4,6,20114,54,2747,17367,0,-2,0.810508
4_vs_7,4,7,23257,54,2747,20510,1,1,0.038363
5_vs_6,5,6,26860,54,9493,17367,0,-2,0.63053
5_vs_7,5,7,30003,54,9493,20510,0,-2,0.925004
6_vs_7,6,7,37877,54,17367,20510,1,1,0.152282
1_vs_2,1,2,495141,54,211840,283301,0,-2,95.901606
