digit,n,p,n_pos,n_neg,lp_separable,lp_exitflag,lp_time_sec,ls_flag,ls_degree,ls_info,ls_time_sec
0,70000,784,6903,63097,0,-2,127.917838,0,7.152557e-07,6222.175881,6222.484819
1,70000,784,7877,62123,0,-2,128.305175,0,7.152557e-07,7092.37138,7092.716572
2,70000,784,6990,63010,0,-2,82.935151,0,5.960464e-07,5756.240686,5756.571019
3,70000,784,7141,62859,0,-2,140.397419,0,5.960464e-07,5926.172653,5926.510334
4,70000,784,6824,63176,0,-2,78.791366,0,8.34465e-07,5945.630849,5945.955206
5,70000,784,6313,63687,0,-2,93.093067,0,5.960464e-07,5021.810203,5022.121863
6,70000,784,6876,63124,0,-2,63.77957,0,7.152557e-07,5992.901497,5993.236956
7,70000,784,7293,62707,0,-2,67.830013,0,5.960464e-07,5978.956157,5979.303012
8,70000,784,6825,63175,0,-2,94.078356,0,5.364418e-07,5233.416187,5233.750249
9,70000,784,6958,63042,0,-2,92.631179,0,5.960464e-07,5969.445726,5969.789053
